Tanggal,Keterangan,Debit,Kredit,Saldo
01/02/2026,SWITCHING CR SHOPIFY PAYMENTS INTL NADI STORE,,1.512.000,48.742.000
01/02/2026,TRSF E-BANKING DB 8820134567 CV PRIMA TEXTILE pembelian kain cotton combed 30s,1.850.000,,46.892.000
03/02/2026,TRSF E-BANKING DB 7710098234 GAJI KARYAWAN GUDANG FEB 2026,2.800.000,,44.092.000
04/02/2026,SWITCHING CR TOKOPEDIA SETTLEMENT 04-02-2026,,2.132.000,46.224.000
05/02/2026,TRSF E-BANKING DB 3390012876 CV SABLON JAYA jasa sablon DTG 150pcs,1.050.000,,45.174.000
06/02/2026,KARTU DEBIT 0391 META PLATFORMS IRELAND iklan ads,450.000,,44.724.000
07/02/2026,SWITCHING CR TIKTOK SHOP SETTLEMENT W1-FEB penjualan hoodie,,1.836.000,46.560.000
08/02/2026,TRSF E-BANKING DB 5540078123 UD PACKAGING JAYA kemasan box custom,450.000,,46.110.000
09/02/2026,TRSF E-BANKING DB 6650034521 JNE EXPRESS ongkir bulk 45 paket,675.000,,45.435.000
10/02/2026,SWITCHING CR SHOPIFY PAYMENTS INTL NADI STORE,,1.674.000,47.109.000
11/02/2026,BYR VIA E-BANKING PLN PREPAID 545200012345 listrik gudang,385.000,,46.724.000
12/02/2026,SWITCHING CR SHOPEE PAY SETTLEMENT 12-02-2026,,3.450.000,50.174.000
13/02/2026,TRSF E-BANKING DB 2210045678 TB JAYA MAKMUR benang resleting,280.000,,49.894.000
14/02/2026,TRSF E-BANKING DB 1120056789 PT GUDANG SENTOSA sewa gudang FEB,1.800.000,,48.094.000
15/02/2026,SWITCHING CR TOKOPEDIA SETTLEMENT 15-02-2026 penjualan,,1.533.000,49.627.000
16/02/2026,TRSF E-BANKING DB 9930023456 REFUND CUSTOMER salah ukuran,159.000,,49.468.000
17/02/2026,TRSF E-BANKING DB 4450067890 CV KONVEKSI ABADI jahit hoodie 100pcs,1.400.000,,48.068.000
18/02/2026,SWITCHING CR SHOPIFY PAYMENTS INTL NADI STORE,,1.590.000,49.658.000
19/02/2026,SWITCHING CR SHOPIFY PAYMENTS INTL NADI STORE,,2.424.000,52.082.000
20/02/2026,TRSF E-BANKING DB 0010000001 KANTOR PAJAK pajak PPh JAN 2026,850.000,,51.232.000
